Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,DDisc_AUC_200,DDisc_AUC_40K
100206,S900,Q11,M,26-30,true,false,false,0.09707188,0.05000021
100307,Q1,Q01,F,26-30,true,false,false,0.16217604,0.31145853
100408,Q3,Q03,M,31-35,true,false,false,0.20306146,0.42135438
100610,S900,Q08,M,26-30,true,true,false,0.8016292,0.8687502
101006,S500,Q06,F,31-35,true,false,false,0.28379062,0.7830731
101107,S500,Q06,M,22-25,true,false,false,0.088478126,0.5843752
101309,S500,Q06,M,26-30,true,false,false,0.92194164,0.9497398
101915,Q3,Q04,F,31-35,true,false,false,0.5366552,0.9234377
102109,S1200,Q13,M,26-30,true,false,false,0.5672542,0.7203127
102311,S500,Q06,F,26-30,true,true,false,0.06543125,0.21562521
102513,S900,Q10,M,26-30,true,false,false,0.019467708,0.14140646
102614,S1200,Q12,M,22-25,true,false,false,0.59368646,0.9609377
102715,S1200,Q12,M,26-30,true,false,false,0.44928542,0.7656252
102816,Q3,Q03,F,26-30,true,true,false,0.060613543,0.08098979
103111,S500,Q06,M,26-30,true,false,false,0.3067073,0.63632834
103212,S1200,Q13,M,31-35,true,false,false,0.31673333,0.71328145
103414,Q2,Q02,F,22-25,true,false,false,0.5180354,0.86601585
103515,Q1,Q02,F,26-30,true,false,false,0.1568375,0.015625209
103818,Q1,Q01,F,31-35,true,false,false,0.18912917,0.4983075
104012,MEG2,Q07,F,26-30,true,false,true,0.08691563,0.16015646
104416,S900,Q09,F,31-35,true,true,false,0.5363948,0.71731794
104820,S500,Q06,F,36+,true,false,false,0.26855624,0.8609377
105014,S500,Q05,F,26-30,true,false,false,0.12975417,0.5121096
105115,Q2,Q02,M,31-35,true,false,false,0.43704584,0.5906252
105216,Q3,Q03,M,26-30,true,false,false,0.26673332,0.63203144
105620,S900,Q08,F,31-35,true,false,false,0.27519688,0.72682315
105923,MEG2,Q07,F,31-35,true,true,true,0.34694168,0.4968752
106016,Q3,Q04,F,31-35,true,false,false,0.4800146,0.7533856
106319,Q3,Q03,M,26-30,true,false,false,0.108009376,0.31927103
106521,S500,Q06,F,26-30,true,false,true,0.058009375,0.597396
106824,S1200,Q13,M,22-25,true,false,false,0.55813956,0.68867207
107018,S900,Q09,F,26-30,true,false,false,0.33392084,0.7906252
107321,S500,Q04,F,22-25,true,false,false,0.20306146,0.39726582
107422,S500,Q07,M,22-25,true,false,false,0.2975927,0.9015627
107725,S900,Q08,F,31-35,true,false,false,0.06256667,0.08828146
108020,S1200,Q12,M,22-25,true,false,false,0.2694677,0.90403664
108121,S500,Q04,F,26-30,true,false,false,0.08509271,0.18906271
108222,S900,Q07,M,31-35,true,false,false,0.5287125,0.8914065
108323,S500,Q04,F,26-30,true,true,true,0.24407709,0.13541688
108525,S500,Q05,M,22-25,true,false,false,0.09316563,0.17682312
108828,S500,Q05,M,31-35,true,false,false,0.19264479,0.675521
109123,S500,Q06,M,31-35,true,true,true,0.20436354,0.1826825
109830,S900,Q08,F,31-35,true,false,false,,
110007,S900,Q11,F,31-35,true,false,false,0.40162918,0.8515627
110411,Q2,Q02,M,31-35,true,false,false,0.67272294,0.9687502
110613,S900,Q11,M,26-30,true,false,false,0.116472915,0.17968771
111009,S900,Q03,F,26-30,true,false,false,0.455275,0.7531252
111211,S1200,Q12,F,26-30,true,false,false,0.292775,0.706771
111312,Q1,Q01,F,31-35,true,false,false,0.67767084,0.51445335
111413,S500,Q04,F,26-30,true,false,false,0.28105626,0.6776044
111514,MEG2,Q02,M,31-35,true,true,false,0.0474625,0.17343771
111716,Q3,Q04,F,31-35,true,false,false,0.32063958,0.32565126
112112,S900,Q11,M,26-30,true,false,false,0.03574375,0.05078146
112314,S900,Q11,F,26-30,true,false,false,0.89694166,0.9843752
112516,S900,Q08,F,31-35,true,false,false,0.6581396,0.9375002
112920,S900,Q10,M,31-35,true,false,false,0.35605624,0.80390644
113215,Q3,Q03,F,26-30,true,false,false,0.1662125,0.6562502
113316,S1200,Q12,M,22-25,true,false,false,0.038478125,0.112500206
113619,Q2,Q02,F,31-35,true,false,false,0.30475417,0.96640646
113922,S500,Q04,M,31-35,true,false,true,0.036785416,0.062239792
114217,S900,Q08,F,26-30,true,false,false,0.23287916,0.60559916
114419,S500,Q07,M,31-35,true,false,false,0.19368646,0.33020854
114621,S900,Q09,M,26-30,true,false,false,0.21712396,0.6410158
114823,S900,Q07,F,31-35,true,true,false,0.49707186,0.78828144
115017,S900,Q06,F,31-35,true,true,false,0.13366042,0.21041687
115320,Q2,Q02,F,31-35,true,false,false,0.040821876,0.062630415
115724,S1200,Q12,F,22-25,true,false,false,0.18418124,0.5671877
