Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl
100004,S900,Q06,M,22-25,false,false,false
100206,S900,Q11,M,26-30,true,false,false
100307,Q1,Q01,F,26-30,true,false,false
100408,Q3,Q03,M,31-35,true,false,false
100610,S900,Q08,M,26-30,true,true,false
101006,S500,Q06,F,31-35,true,false,false
101107,S500,Q06,M,22-25,true,false,false
101208,S1200,Q12,F,31-35,false,false,false
101309,S500,Q06,M,26-30,true,false,false
101410,S500,Q06,M,26-30,false,false,false
101612,S900,Q11,F,26-30,false,false,false
101915,Q3,Q04,F,31-35,true,false,false
102008,S500,Q06,M,22-25,false,false,false
102109,S1200,Q13,M,26-30,true,false,false
102311,S500,Q06,F,26-30,true,true,false
102513,S900,Q10,M,26-30,true,false,false
102614,S1200,Q12,M,22-25,true,false,false
102715,S1200,Q12,M,26-30,true,false,false
102816,Q3,Q03,F,26-30,true,true,false
103010,S1200,Q12,M,22-25,false,false,false
103111,S500,Q06,M,26-30,true,false,false
103212,S1200,Q13,M,31-35,true,false,false
103414,Q2,Q02,F,22-25,true,false,false
103515,Q1,Q02,F,26-30,true,false,false
103818,Q1,Q01,F,31-35,true,false,false
104012,MEG2,Q07,F,26-30,true,false,true
104113,S900,Q09,M,26-30,false,false,false
104416,S900,Q09,F,31-35,true,true,false
104820,S500,Q06,F,36+,true,false,false
105014,S500,Q05,F,26-30,true,false,false
105115,Q2,Q02,M,31-35,true,false,false
105216,Q3,Q03,M,26-30,true,false,false
105620,S900,Q08,F,31-35,true,false,false
105923,MEG2,Q07,F,31-35,true,true,true
106016,Q3,Q04,F,31-35,true,false,false
106218,S900,Q09,M,26-30,false,false,false
106319,Q3,Q03,M,26-30,true,false,false
106521,S500,Q06,F,26-30,true,false,true
106824,S1200,Q13,M,22-25,true,false,false
107018,S900,Q09,F,26-30,true,false,false
107119,S900,Q07,M,36+,false,false,false
107220,S900,Q11,F,26-30,false,false,false
107321,S500,Q04,F,22-25,true,false,false
107422,S500,Q07,M,22-25,true,false,false
107523,S900,Q11,M,22-25,false,false,false
107725,S900,Q08,F,31-35,true,false,false
108020,S1200,Q12,M,22-25,true,false,false
108121,S500,Q04,F,26-30,true,false,false
108222,S900,Q07,M,31-35,true,false,false
108323,S500,Q04,F,26-30,true,true,true
108525,S500,Q05,M,22-25,true,false,false
108828,S500,Q05,M,31-35,true,false,false
109123,S500,Q06,M,31-35,true,true,true
109325,S500,Q07,M,31-35,false,false,false
109830,S900,Q08,F,31-35,true,false,false
110007,S900,Q11,F,31-35,true,false,false
110411,Q2,Q02,M,31-35,true,false,false
110613,S900,Q11,M,26-30,true,false,false
111009,S900,Q03,F,26-30,true,false,false
111211,S1200,Q12,F,26-30,true,false,false
111312,Q1,Q01,F,31-35,true,false,false
111413,S500,Q04,F,26-30,true,false,false
111514,MEG2,Q02,M,31-35,true,true,false
111716,Q3,Q04,F,31-35,true,false,false
112112,S900,Q11,M,26-30,true,false,false
112314,S900,Q11,F,26-30,true,false,false
112516,S900,Q08,F,31-35,true,false,false
112819,Q3,Q03,F,26-30,false,false,false
112920,S900,Q10,M,31-35,true,false,false
113215,Q3,Q03,F,26-30,true,false,false
113316,S1200,Q12,M,22-25,true,false,false
113417,S1200,Q12,F,26-30,false,false,false
113619,Q2,Q02,F,31-35,true,false,false
113821,S500,Q05,F,26-30,false,false,false
113922,S500,Q04,M,31-35,true,false,true
114116,S1200,Q12,F,26-30,false,false,false
114217,S900,Q08,F,26-30,true,false,false
114318,S900,Q06,F,22-25,false,false,false
114419,S500,Q07,M,31-35,true,false,false
114621,S900,Q09,M,26-30,true,false,false
114823,S900,Q07,F,31-35,true,true,false
114924,Q1,Q01,M,26-30,false,false,false
115017,S900,Q06,F,31-35,true,true,false
115219,S900,Q09,M,31-35,false,false,false
115320,Q2,Q02,F,31-35,true,false,false
115724,S1200,Q12,F,22-25,true,false,false
115825,S900,Q10,M,22-25,true,true,false
116120,Q2,Q03,F,31-35,false,false,false
116221,S900,Q08,M,22-25,false,false,false
116322,S500,Q06,F,31-35,false,false,false
116423,S1200,Q09,M,26-30,false,false,false
116524,S500,Q05,M,26-30,true,false,false
116726,S900,Q08,M,26-30,true,true,true
117021,S1200,Q12,F,26-30,true,false,false
117122,Q1,Q01,F,26-30,true,false,false
117324,Q3,Q03,F,22-25,true,false,false
117728,S1200,Q10,F,22-25,false,false,false
117930,S900,Q10,F,31-35,true,false,false
118023,S900,Q07,F,26-30,false,false,false
