Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,age_group,strata
519647,S1200,Q13,M,26-30,True,False,False,26-30,26-30_M
308129,S900,Q11,M,22-25,True,False,False,22-25,22-25_M
837560,S500,Q05,M,26-30,True,False,False,26-30,26-30_M
523032,S900,Q09,M,31-35,True,False,False,31-35,31-35_M
200614,Q1,Q01,F,31-35,True,True,False,31-35,31-35_F
191235,S1200,Q10,M,22-25,True,False,False,22-25,22-25_M
789373,S500,Q06,M,26-30,True,True,False,26-30,26-30_M
212217,S500,Q05,F,22-25,True,False,False,22-25,22-25_F
299154,S900,Q11,M,22-25,True,False,False,22-25,22-25_M
580751,S900,Q10,M,22-25,True,False,False,22-25,22-25_M
112314,S900,Q11,F,26-30,True,False,False,26-30,26-30_F
198350,S500,Q05,M,31-35,True,False,False,31-35,31-35_M
991267,S500,Q06,M,26-30,True,False,False,26-30,26-30_M
154229,S900,Q10,F,22-25,True,False,False,22-25,22-25_F
163836,S500,Q06,F,31-35,True,False,False,31-35,31-35_F
101309,S500,Q06,M,26-30,True,False,False,26-30,26-30_M
177645,S500,Q05,F,26-30,True,True,False,26-30,26-30_F
645551,Q2,Q03,F,22-25,True,False,False,22-25,22-25_F
188448,S900,Q11,F,22-25,True,False,False,22-25,22-25_F
257946,S1200,Q08,F,26-30,True,False,False,26-30,26-30_F
993675,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
207123,S900,Q10,M,26-30,True,False,False,26-30,26-30_M
886674,S1200,Q11,M,22-25,True,False,False,22-25,22-25_M
154936,S500,Q04,M,26-30,True,False,False,26-30,26-30_M
127832,S1200,Q09,F,31-35,True,False,False,31-35,31-35_F
298455,S500,Q06,M,22-25,True,False,False,22-25,22-25_M
180432,S500,Q04,F,31-35,True,False,False,31-35,31-35_F
724446,S900,Q11,M,22-25,True,True,False,22-25,22-25_M
286650,S900,Q09,M,26-30,True,False,False,26-30,26-30_M
987983,S500,Q04,F,26-30,True,False,False,26-30,26-30_F
123723,S1200,Q09,F,31-35,True,False,False,31-35,31-35_F
627549,Q2,Q02,F,31-35,True,True,False,31-35,31-35_F
579867,S900,Q10,F,31-35,True,False,False,31-35,31-35_F
122822,S900,Q07,F,31-35,True,False,False,31-35,31-35_F
165436,S1200,Q12,M,26-30,True,True,False,26-30,26-30_M
849264,S900,Q10,F,31-35,True,False,False,31-35,31-35_F
206929,S1200,Q12,M,31-35,True,False,False,31-35,31-35_M
898176,S500,Q06,M,31-35,True,True,True,31-35,31-35_M
861456,Q1,Q01,F,31-35,True,True,False,31-35,31-35_F
263436,S900,Q10,F,31-35,True,True,False,31-35,31-35_F
165941,S1200,Q09,F,26-30,True,False,False,26-30,26-30_F
557857,S900,Q09,M,22-25,True,False,False,22-25,22-25_M
112920,S900,Q10,M,31-35,True,False,False,31-35,31-35_M
134021,S900,Q10,F,31-35,True,False,False,31-35,31-35_F
103111,S500,Q06,M,26-30,True,False,False,26-30,26-30_M
200008,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
927359,S900,Q07,M,22-25,True,True,False,22-25,22-25_M
199958,S500,Q05,M,31-35,True,False,False,31-35,31-35_M
166438,S500,Q04,M,31-35,True,False,False,31-35,31-35_M
133928,Q2,Q03,M,26-30,True,False,False,26-30,26-30_M
770352,S500,Q04,F,26-30,True,True,False,26-30,26-30_F
204420,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
134829,S900,Q11,F,31-35,True,True,False,31-35,31-35_F
668361,S900,Q09,M,31-35,True,False,False,31-35,31-35_M
984472,Q2,Q02,F,26-30,True,False,False,26-30,26-30_F
568963,S500,Q05,F,31-35,True,False,True,31-35,31-35_F
185341,S900,Q09,F,22-25,True,False,False,22-25,22-25_F
125424,S1200,Q11,F,31-35,True,False,False,31-35,31-35_F
623844,S500,Q05,M,26-30,True,False,False,26-30,26-30_M
151728,S500,Q04,M,31-35,True,False,False,31-35,31-35_M
111009,S900,Q03,F,26-30,True,False,False,26-30,26-30_F
856766,Q1,Q01,F,31-35,True,False,False,31-35,31-35_F
200917,S900,Q10,F,22-25,True,False,False,22-25,22-25_F
211316,S500,Q06,F,31-35,True,False,False,31-35,31-35_F
114621,S900,Q09,M,26-30,True,False,False,26-30,26-30_M
702133,Q2,Q02,F,31-35,True,False,False,31-35,31-35_F
182436,S900,Q07,F,31-35,True,True,False,31-35,31-35_F
228434,S900,Q08,F,22-25,True,False,False,22-25,22-25_F
189652,S1200,Q13,M,26-30,True,False,False,26-30,26-30_M
158035,Q2,Q02,F,26-30,True,True,False,26-30,26-30_F
206222,S900,Q10,M,26-30,True,False,False,26-30,26-30_M
195041,S500,Q07,F,31-35,True,True,False,31-35,31-35_F
896778,Q1,Q01,F,31-35,True,False,False,31-35,31-35_F
395958,S500,Q05,M,26-30,True,False,False,26-30,26-30_M
767464,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
566454,S500,Q06,F,26-30,True,False,False,26-30,26-30_F
617748,S900,Q11,F,26-30,True,True,False,26-30,26-30_F
700634,S900,Q10,M,26-30,True,False,False,26-30,26-30_M
199352,S1200,Q12,F,22-25,True,False,False,22-25,22-25_F
169545,S1200,Q13,M,22-25,True,False,False,22-25,22-25_M
121921,S900,Q07,M,31-35,True,False,False,31-35,31-35_M
209935,Q3,Q03,M,22-25,True,False,False,22-25,22-25_M
124220,S500,Q05,M,31-35,True,False,False,31-35,31-35_M
849971,S500,Q05,M,22-25,True,False,False,22-25,22-25_M
102614,S1200,Q12,M,22-25,True,False,False,22-25,22-25_M
176845,S1200,Q11,F,26-30,True,False,False,26-30,26-30_F
616645,S900,Q11,M,22-25,True,False,False,22-25,22-25_M
