Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,age_group,strata
387959,S900,Q10,M,26-30,True,False,False,26-30,26-30_M
106521,S500,Q06,F,26-30,True,False,True,26-30,26-30_F
826353,Q1,Q01,F,26-30,True,True,False,26-30,26-30_F
124826,S500,Q06,F,31-35,True,False,False,31-35,31-35_F
731140,S900,Q11,F,31-35,True,False,False,31-35,31-35_F
154229,S900,Q10,F,22-25,True,False,False,22-25,22-25_F
130518,S1200,Q07,F,31-35,True,True,False,31-35,31-35_F
133019,S500,Q06,F,26-30,True,False,True,26-30,26-30_F
673455,S500,Q06,F,31-35,True,False,False,31-35,31-35_F
756055,Q3,Q03,M,22-25,True,False,False,22-25,22-25_M
105115,Q2,Q02,M,31-35,True,False,False,31-35,31-35_M
139435,S1200,Q13,F,26-30,True,False,False,26-30,26-30_F
125222,S1200,Q12,M,26-30,True,False,False,26-30,26-30_M
151526,Q3,Q03,M,26-30,True,False,False,26-30,26-30_M
645450,S900,Q09,F,26-30,True,False,False,26-30,26-30_F
151930,S1200,Q12,M,31-35,True,False,False,31-35,31-35_M
138332,S1200,Q13,M,26-30,True,False,False,26-30,26-30_M
201111,Q1,Q01,M,26-30,True,False,False,26-30,26-30_M
172534,S500,Q04,F,22-25,True,False,False,22-25,22-25_F
645551,Q2,Q03,F,22-25,True,False,False,22-25,22-25_F
212217,S500,Q05,F,22-25,True,False,False,22-25,22-25_F
210617,Q1,Q02,F,31-35,True,False,False,31-35,31-35_F
175742,S900,Q08,F,31-35,True,False,False,31-35,31-35_F
130720,S1200,Q13,M,31-35,True,False,False,31-35,31-35_M
130316,Q3,Q03,F,26-30,True,False,False,26-30,26-30_F
180735,S900,Q08,F,31-35,True,False,False,31-35,31-35_F
172433,S900,Q11,M,22-25,True,False,False,22-25,22-25_M
955465,S900,Q08,M,26-30,True,False,False,26-30,26-30_M
180937,S500,Q06,M,36+,True,False,False,36+,36+_M
555651,S900,Q11,F,31-35,True,False,False,31-35,31-35_F
138837,S900,Q11,M,22-25,True,False,False,22-25,22-25_M
680957,Q3,Q03,F,26-30,True,True,True,26-30,26-30_F
